org,dep,budget_type,amount
งบกลาง,เงินสำรองจ่ายทั่วไป,งบกลาง,486536500.0
งบกลาง,เงินช่วยเหลือข้าราชการและลูกจ้าง,งบกลาง,2700000000.0
งบกลาง,เงินบำเหน็จลูกจ้าง,งบกลาง,650000000.0
งบกลาง,ค่าติดตั้งไฟฟ้าสาธารณะ,งบกลาง,200000000.0
งบกลาง,เงินสำรองสำหรับค่างาน ส่วนที่เพิ่มตามสัญญา แบบปรับราคาได้,งบกลาง,20000000.0
งบกลาง,เงินสำรองสำหรับค่าใช้จ่ายเกี่ยวกับบุคลากร,งบกลาง,300000000.0
งบกลาง,ค่าใช้จ่ายเกี่ยวกับภารกิจและ หรือนโยบายที่ได้รับมอบจากรัฐบาล,งบกลาง,4395109000.0
งบกลาง,เงินรางวัลและเงินช่วยเหลือสำหรับผลการปฏิบัติราชการประจำปี,งบกลาง,2000000000.0
งบกลาง,เงินสำรองสำหรับภาระผูกพันที่ค้างจ่ายตามกฎหมาย,งบกลาง,1555873938.0
งบกลาง,เงินช่วยค่าครองชีพผู้ได้รับบำนาญของกรุงเทพมหานคร,งบกลาง,218000000.0
สำนักงานเลขานุการสภากรุงเทพมหานคร,แผนงานบริหารทั่วไป,ประจำ,82258900.0
สำนักงานเลขานุการผู้ว่าราชการกรุงเทพมหานคร,แผนงานบริหารทั่วไป,ประจำ,70920000.0
สำนักงานคณะกรรมการข้าราชการกรุงเทพมหานคร,แผนงานบริหารงานบุคคล,ประจำ,199359000.0
สำนักปลัดกรุงเทพมหานคร,แผนงานบริหารทั่วไป,ประจำ,222688400.0
สำนักปลัดกรุงเทพมหานคร,แผนงานบริหารงานปกครองและทะเบียน,ประจำ,302761800.0
สำนักปลัดกรุงเทพมหานคร,แผนงานบริหารการคลัง,ประจำ,29591800.0
สำนักปลัดกรุงเทพมหานคร,แผนงานบริหารงานบุคคล,ประจำ,160469500.0
สำนักปลัดกรุงเทพมหานคร,แผนงานส่งเสริมระบบบริหาร,ประจำ,536805400.0
สำนักการแพทย์,แผนงานบริหารทั่วไป,ประจำ,99145300.0
สำนักการแพทย์,แผนงานบริการด้านการแพทย์,ประจำ,4008758600.0
สำนักการแพทย์,แผนงานพัฒนาด้านการแพทย์และอนามัย,ประจำ,16730900.0
สำนักอนามัย,แผนงานบริหารทั่วไป,ประจำ,85100100.0
สำนักอนามัย,แผนงานอนามัยสิ่งแวดล้อม,ประจำ,64194500.0
สำนักอนามัย,แผนงานอนามัย,ประจำ,2324985200.0
สำนักการศึกษา,แผนงานบริหารทั่วไป,ประจำ,511645100.0
สำนักการศึกษา,แผนงานพัฒนาคุณภาพการศึกษา,ประจำ,730058700.0
สำนักการโยธา,แผนงานบริหารทั่วไป,ประจำ,134049980.0
